id,block,sub,sub_addr,str_off,page,speaker,japanese,korean,note
00-00-0000-00,0,0,6C7EC4,0000,0,,"『精霊の樹
　この樹には精霊が宿っているといわ
　れています。{W}","『정령의 나무
　이 나무에는 정령이 산다고
　합니다.{W}",
00-00-0000-01,0,0,6C7EC4,0000,1,,"　傷つけないように、みんなで協力し
　ましょう。ユークリッド観光協会』
と書かれている。{W}","　다치지 않게 모두 함께
　도와주세요.유클리드 관광협회』
라고 쓰여 있다.{W}",
00-00-009C-00,0,0,6C7EC4,009C,0,クレス,"{N1}
「あれ？
　見失ったか・・・」{W}","{N1}
「어라?
　놓친 건가…」{W}",
00-00-00C4-00,0,0,6C7EC4,00C4,0,チェスター,"{N5}
「オレ、近くを探してくるぜ」{W}","{N5}
「내가 근처 좀 찾아볼게」{W}",
00-00-00EA-00,0,0,6C7EC4,00EA,0,クレス,"{N1}
「確かに、こっちに来たと思ったのに
　・・・」{W}","{N1}
「분명 이쪽으로 온 것 같았는데
　…」{W}",
00-00-0122-00,0,0,6C7EC4,0122,0,,"　
　樹を{SPD:10}、{SPD:FF}けがさないで・・・。","　
　나무를{SPD:10}, {SPD:FF}다치게 하지 말아줘…",
00-00-014C-00,0,0,6C7EC4,014C,0,チェスター,"{N5}
「こっちにはいなかった」{W}","{N5}
「이쪽엔 없었어」{W}",
00-00-014C-01,0,0,6C7EC4,014C,1,チェスター,"{N5}
「そっちは？」{W}","{N5}
「그쪽은?」{W}",
00-00-014C-02,0,0,6C7EC4,014C,2,チェスター,"{N5}
「{N1}、どうした？」{W}","{N5}
「{N1}, 왜 그래?」{W}",
00-00-014C-03,0,0,6C7EC4,014C,3,クレス,"{N1}
「いや・・・」{W}","{N1}
「아니…」{W}",
00-00-01B6-00,0,0,6C7EC4,01B6,0,チェスター,"{N5}
「いたぞ！」{W}","{N5}
「찾았다!」{W}",
00-00-01CC-00,0,0,6C7EC4,01CC,0,クレス,"{N1}
「大物だな」{W}","{N1}
「큰 놈이네」{W}",
00-00-01E2-00,0,0,6C7EC4,01E2,0,チェスター,"{N5}
「これだけ捕れれば十分だろ」{W}","{N5}
「이만큼 잡았으면 충분하지」{W}",
00-00-01E2-01,0,0,6C7EC4,01E2,1,チェスター,"{N5}
「村に戻ろうぜ」{W}","{N5}
「마을로 돌아가자」{W}",
00-00-0220-00,0,0,6C7EC4,0220,0,クレス,"{N1}
「あれは{SPD:10}・・・{SPD:FF}、村の鐘の音だ！
　何かあったのか！？」{W}","{N1}
「저건{SPD:10}…{SPD:FF} 마을의 종소리다!
　무슨 일이 생긴 건가!?」{W}",
00-00-0220-01,0,0,6C7EC4,0220,1,チェスター,"{N5}
「急ごう！！」{W}","{N5}
「서두르자!!」{W}",
00-00-027E-00,0,0,6C7EC4,027E,0,チェスター,"{N5}
「あっ、猪だ！！」{W}","{N5}
「앗, 멧돼지다!!」{W}",
00-00-029A-00,0,0,6C7EC4,029A,0,チェスター,"{N5}
「追いかけよう！」{W}","{N5}
「쫓아가자!」{W}",
00-00-02B6-00,0,0,6C7EC4,02B6,0,チェスター,"{N5}
「いた！」{W}","{N5}
「있다!」{W}",
00-00-02B6-01,0,0,6C7EC4,02B6,1,チェスター,"{N5}
「あそこだ！」{W}","{N5}
「저기다!」{W}",
00-00-02E0-00,0,0,6C7EC4,02E0,0,チェスター,"{N5}
「もう帰るのか？」{W}","{N5}
「벌써 돌아가는 거야?」{W}",
00-00-02E0-01,0,0,6C7EC4,02E0,1,チェスター,"{N5}
「あんまり獲物を捕まえてないぞ？」{W}","{N5}
「사냥감 별로 못 잡았잖아?」{W}",
